global_time,crystal,edep,x,y,z,slice_sect,time
 18727385691.84232,0,186.720,49.992,3.992,-245.684,12,91866800.050
 18824198813.24995,6,281.204,-82.158,12.241,-237.004,11,383746564.002
 18824198813.24995,6,524.151,-94.863,11.521,-252.200,21,383746564.069
 18824198813.24995,6,243.797,-91.012,7.833,-260.307,31,383746564.101
 18824198813.24995,6,11.251,-92.498,8.154,-261.081,31,383746564.107
 18824198813.24995,6,140.158,-97.324,8.770,-261.268,31,383746564.123
 18824198813.24995,6,132.439,-91.307,8.978,-260.334,31,383746564.143
 18824198813.24995,9,435.939,-19.559,-35.512,-235.377,03,383746563.961
 18824198813.24995,12,341.901,18.740,-43.838,-287.856,43,383746564.179
 18824198813.24995,12,131.380,17.791,-43.803,-289.892,43,383746564.187
 18824198813.24995,12,16.203,21.433,-55.578,-297.482,42,383746564.235
 19207945376.41403,38,840.575,-13.772,-169.907,-176.648,01,306889945.157
 19207945376.41403,38,173.801,-4.112,-169.839,-177.692,00,306889945.189
 19207945376.41403,38,46.671,-5.048,-169.292,-178.271,00,306889945.193
 19207945376.41403,38,110.952,-5.283,-171.028,-177.956,00,306889945.199
 19514835320.75196,25,516.864,-87.269,185.750,-148.170,14,142350755.324
 19514835320.75196,25,589.435,-91.373,187.845,-149.274,14,142350755.340
 19514835320.75196,25,74.432,-75.362,202.962,-161.540,24,142350755.424
 19514835320.75196,25,4.822,-79.004,208.223,-157.064,24,142350755.450
 19514835320.75196,25,147.447,-81.805,210.799,-149.813,24,142350755.477
 20331713553.58681,35,914.633,-82.989,-133.589,-191.956,11,16652984.566
 20953220806.00064,16,40.090,149.686,15.968,-186.813,03,4959283.677
 20953220806.00064,16,876.709,150.145,15.947,-187.612,03,4959283.680
 20953220806.00064,16,20.738,147.109,18.474,-186.585,03,4959283.694
 21344960127.86414,11,849.072,-29.375,-136.390,-254.442,31,65163774.036
 21344960127.86414,10,74.737,10.525,-136.302,-253.836,35,65163774.169
 21344960127.86414,40,93.359,51.312,-193.943,-249.160,52,65163774.406
 21344960127.86414,38,154.833,32.737,-200.142,-253.289,54,65163774.472
 21410123900.93254,24,268.691,-145.659,171.780,-206.588,40,252159827.452
 21662283727.36363,43,404.169,183.799,-67.600,-141.367,01,424150.621
 21662283727.36363,43,76.771,190.704,-68.181,-158.993,10,424150.684
 21662283727.36363,43,110.301,192.668,-65.873,-167.894,20,424150.716
 21662283727.36363,44,201.513,210.275,-72.592,-218.690,50,424150.896
 21662283727.36363,44,180.994,211.511,-81.325,-224.233,50,424150.931
 21662283727.36363,23,870.959,-29.523,151.029,-178.841,01,424150.602
 21907002869.93856,31,810.586,-177.875,-23.922,-165.441,05,14277202.422
 21907002869.93856,31,38.064,-179.114,-30.688,-163.264,05,14277202.446
 21921280071.54640,20,340.954,114.449,137.183,-182.271,11,88820238.080
