cr,slice,sect,x,y,z,vol
12,1,2,21.17258,-58.94196,-245.40945,6624.00000
12,1,3,19.21283,-37.53514,-249.66586,6022.00000
12,1,4,34.73363,-24.58499,-249.75160,6217.00000
12,1,5,56.15126,-31.59583,-245.26980,6740.00000
12,2,0,62.74464,-56.48983,-253.58650,10082.00000
12,2,1,44.01798,-71.12939,-253.65969,10198.00000
12,2,2,22.79870,-61.72810,-258.55019,9947.00000
12,2,3,20.80154,-39.82347,-262.90457,9054.00000
12,2,4,36.66544,-26.53076,-263.01057,9362.00000
12,2,5,58.52646,-33.68241,-258.43780,10142.00000
12,3,0,66.71553,-59.97773,-268.95100,13026.00000
12,3,1,46.55685,-75.71563,-269.02792,13123.00000
12,3,2,23.79081,-65.65754,-274.26936,12760.00000
12,3,3,21.60993,-42.04044,-278.97101,11656.00000
12,3,4,38.78494,-27.81672,-279.05162,11964.00000
12,3,5,62.17380,-35.42772,-274.16311,13076.00000
12,4,0,70.21325,-63.42237,-285.44439,14312.00000
12,4,1,49.18913,-79.83480,-285.53399,14344.00000
12,4,2,25.50837,-69.44105,-290.97116,13895.00000
12,4,3,23.22809,-44.94366,-295.83182,12676.00000
12,4,4,41.42951,-30.05054,-295.89696,12813.00000
12,4,5,65.49899,-37.77855,-290.89017,14329.00000
12,5,0,73.09195,-66.68171,-301.99243,14802.00000
12,5,1,51.72843,-83.37042,-302.08532,14824.00000
12,5,2,27.72015,-72.89090,-307.59305,14325.00000
12,5,3,25.35804,-48.15916,-312.53667,12919.00000
12,5,4,44.24666,-32.79227,-312.58059,13009.00000
12,5,5,68.35510,-40.53018,-307.54401,14851.00000
13,0,0,83.61204,-43.26582,-223.38731,6313.00000
13,0,1,80.54750,-24.40038,-227.22347,6554.00000
13,0,2,93.30141,-10.09760,-223.28539,6243.00000
13,0,3,108.36312,-14.41091,-215.90278,6268.00000
13,0,4,112.66190,-32.94154,-211.55180,6951.00000
13,0,5,99.37397,-47.72546,-215.69277,6795.00000
13,1,0,85.63926,-47.28288,-234.14959,6521.00000
13,1,1,81.92004,-24.75391,-238.77204,6701.00000
13,1,2,97.12778,-7.64663,-234.07381,6457.00000
13,1,3,115.22486,-12.84722,-225.20075,6441.00000
13,1,4,120.38088,-35.05375,-219.98692,7124.00000
