global_time,crystal,edep,x,y,z,slice_sect,time
 22128040562.69600,32,3.927,-193.715,-64.275,-242.811,55,4742860.970
 22128040562.69600,32,55.736,-201.325,-58.998,-241.691,50,4742861.001
 22128040562.69600,32,20.405,-201.153,-58.938,-241.820,50,4742861.002
 22128040562.69600,32,87.607,-206.092,-54.747,-242.282,51,4742861.023
 22128040562.69600,11,467.144,-70.106,-107.277,-256.272,34,4742860.638
 22128040562.69600,11,367.083,-67.365,-108.363,-260.880,35,4742860.656
 22128040562.69600,11,174.728,-61.713,-112.272,-258.419,35,4742860.680
 22128040562.69600,11,28.721,-70.698,-106.315,-262.655,45,4742860.719
 22128040562.69600,11,134.325,-70.529,-105.640,-262.509,35,4742860.721
 22503691075.78295,34,487.424,-139.168,-96.475,-183.416,12,19402569.734
 22503691075.78295,34,239.925,-138.516,-100.111,-193.845,12,19402569.770
 22503691075.78295,34,57.057,-127.417,-109.422,-204.073,22,19402569.830
 22503691075.78295,34,192.258,-127.751,-113.417,-211.744,23,19402569.874
 22638929687.37323,21,171.930,18.048,205.770,-116.189,03,85867897.016
 22638929687.37323,21,590.083,17.726,206.799,-117.000,03,85867897.021
 23043064643.50898,21,1028.965,30.018,275.265,-159.239,53,111293577.132
 23043064643.50898,21,162.190,-4.061,269.221,-159.837,52,111293577.247
 23043064643.50898,21,141.845,0.105,268.754,-158.304,52,111293577.262
 23454136816.80558,25,830.420,-136.825,179.496,-165.049,31,118326624.798
 23454136816.80558,25,199.335,-118.464,193.423,-183.874,30,118326624.897
 23454136816.80558,25,87.616,-108.000,195.207,-178.493,35,118326624.937
 23454136816.80558,25,46.511,-108.067,195.379,-178.131,35,118326624.938
 23454136816.80558,25,169.118,-121.930,205.631,-178.819,40,118326624.996
 23957572272.09549,29,1095.491,-162.864,36.569,-166.938,00,4815665.104
 23957572272.09549,27,88.811,-189.336,55.954,-131.833,02,4815665.265
 23957572272.09549,31,9.585,-223.436,-15.810,-140.437,23,4815665.551
